site number,site name,Latitude,Longitude
23000,Adelaide,-34.93,138.58
9999,Albany,-34.94,117.82
15590,Alice Springs,-23.8,133.89
40004,Amberley,-27.63,152.71
36007,Barcaldine,-23.55,145.29
63005,Bathurst,-33.43,149.56
38026,Birdsville,-25.9,139.35
38003,Boulia,-22.91,139.9
48245,Bourke,-30.04,145.95
9617,Bridgetown,-33.95,116.13
40842,Brisbane Airport,-27.39,153.13
3003,Broome,-17.95,122.24
39128,Bundaberg,-24.91,152.32
29077,Burketown,-17.75,139.54
96003,Butlers Gorge,-42.28,146.28
72161,Cabramurra,-35.94,148.38
31011,Cairns,-16.87,145.75
37010,Camooweal,-19.92,138.12
70351,Canberra,-35.31,149.2
22823,Cape Borda,-35.75,136.6
94198,Cape Bruny,-43.49,147.14
9518,Cape Leeuwin,-34.37,115.14
40043,Cape Moreton,-27.03,153.47
90015,Cape Otway,-38.86,143.51
6011,Carnarvon,-24.89,113.67
18012,Ceduna,-32.13,133.7
44021,Charleville,-26.41,146.26
34084,Charters Towers,-20.05,146.27
48027,Cobar,-31.48,145.83
59151,Coffs Harbour,-30.32,153.12
10286,Cunderdin,-31.62,117.22
8297,Dalwallinu,-30.28,116.67
14015,Darwin,-12.42,130.89
74258,Deniliquin,-35.56,144.95
65070,Dubbo,-32.22,148.58
9789,Esperance,-33.83,121.89
11003,Eucla,-31.68,128.9
11052,Forrest,-30.85,128.11
84016,Gabo Island,-37.57,149.92
39066,Gayndah,-25.62,151.62
30124,Georgetown,-18.3,143.53
8315,Geraldton,-28.8,114.7
13017,Giles,-25.03,128.3
94220,Grove,-42.98,147.08
55024,Gunnedah,-31.03,150.27
2079,Halls Creek,-18.23,127.67
94029,Hobart,-42.89,147.33
27058,Horn Island,-10.58,142.29
56242,Inverell,-29.78,151.11
12038,Kalgoorlie-Boulder,-30.78,121.45
1019,Kalumburu,-14.3,126.65
5098,Karijini North (Wittenoom),-22.3,118.45
10916,Katanning,-33.69,117.61
80023,Kerang,-35.72,143.92
18044,Kyancutta,-33.13,135.55
92045,Larapuna (Eddystone Point),-40.99,148.35
91311,Launceston Airport,-41.55,147.22
87031,Laverton,-37.86,144.76
5007,Learmonth,-22.24,114.1
36031,Longreach,-23.44,144.28
91293,Low Head,-41.05,146.79
33119,Mackay,-21.12,149.22
4106,Marble Bar,-21.18,119.75
17126,Marree,-29.66,138.07
7045,Meekatharra,-26.61,118.54
86338,Melbourne,-37.83,144.98
10092,Merredin,-31.48,118.28
76031,Mildura,-34.24,142.09
42112,Miles,-26.66,150.18
8296,Morawa,-29.2,116.02
53115,Moree,-29.49,149.85
69018,Moruya Heads,-35.91,150.15
26021,Mount Gambier,-37.75,140.77
78015,Nhill,-36.31,141.65
29063,Normanton,-17.69,141.07
68072,Nowra,-34.95,150.54
23373,Nuriootpa,-34.48,139.01
17043,Oodnadatta,-27.56,135.45
84145,Orbost,-37.69,148.47
28004,Palmerville,-16,144.08
9021,Perth Airport,-31.93,115.98
68151,Point Perpendicular,-35.09,150.8
4032,Port Hedland,-20.37,118.63
18192,Port Lincoln,-34.6,135.88
60168,Port Macquarie,-31.43,152.87
15666,Rabbit Flat,-20.18,130.01
67105,Richmond (NSW),-33.6,150.78
30161,Richmond (Qld),-20.7,143.11
26026,Robe,-37.16,139.76
39083,Rockhampton,-23.38,150.48
82039,Rutherglen,-36.1,146.51
85072,Sale,-38.12,147.13
61363,Scone,-32.03,150.83
21133,Snowtown,-33.77,138.22
43109,St George,-28.05,148.6
66214,Sydney,-33.86,151.2
16098,Tarcoola,-30.71,134.58
15135,Tennant Creek,-19.64,134.18
45025,Thargomindah,-27.99,143.82
46126,Tibooburra,-29.44,142.06
32040,Townsville,-19.25,146.77
14825,Victoria River Downs,-16.4,131.01
72150,Wagga Wagga,-35.16,147.46
52088,Walgett,-30.04,148.12
10917,Wandering,-32.67,116.67
27045,Weipa,-12.68,141.92
50017,West Wyalong,-33.94,147.2
46012,Wilcannia,-31.52,143.39
61078,Williamtown,-32.79,151.84
85096,Wilsons Promontory,-39.13,146.42
16001,Woomera,-31.16,136.81
58012,Yamba,-29.43,153.36
